department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met_more_than_80,awards_won,avg_training_score,training_category,promotion_score,is_promoted
Sales & Marketing,region_28,Bachelors,f,sourcing,1,26,2.0,4,0,0,48,Basic,0.0,0
HR,region_29,Bachelors,f,sourcing,1,33,3.0,8,1,0,49,Basic,4.5,0
Technology,region_7,Bachelors,m,sourcing,1,30,3.0,3,1,0,80,Basic,6.0,0
Technology,region_13,Masters & above,f,sourcing,1,43,3.0,12,0,0,79,Basic,2.5,0
HR,region_17,Bachelors,f,sourcing,1,31,4.0,7,0,0,48,Basic,2.5,0
Analytics,region_29,Bachelors,m,sourcing,1,32,3.0,5,1,0,86,Basic,6.5,0
Technology,region_2,Masters & above,f,sourcing,2,57,2.0,7,0,0,83,Intermediate,3.0,0
Operations,region_2,Bachelors,f,other,1,54,4.0,22,0,0,57,Basic,2.5,0
Analytics,region_15,Bachelors,m,other,2,37,5.0,8,1,0,82,Intermediate,8.0,1
R&D,region_22,Masters & above,m,other,2,27,4.0,5,0,0,86,Intermediate,5.0,0
Operations,region_22,Masters & above,m,sourcing,1,44,3.0,10,0,0,55,Basic,1.5,0
Technology,region_24,Masters & above,f,other,1,37,3.0,10,0,0,81,Basic,3.5,0
Procurement,region_7,Masters & above,m,other,1,48,4.0,8,0,0,72,Basic,3.5,0
Sales & Marketing,region_25,Bachelors,f,other,1,31,3.0,6,1,0,43,Basic,4.5,0
Finance,region_22,Bachelors,f,other,1,28,5.0,5,1,0,60,Basic,5.5,0
Procurement,region_13,Masters & above,f,other,1,34,3.0,4,0,0,69,Basic,2.0,0
Sales & Marketing,region_14,Bachelors,f,sourcing,1,44,1.0,4,0,0,47,Basic,0.0,0
Sales & Marketing,region_12,Bachelors,m,sourcing,1,27,5.0,2,0,0,50,Basic,2.0,0
Operations,region_22,Masters & above,m,referred,1,45,3.0,4,1,0,57,Basic,4.0,0
Sales & Marketing,region_13,Bachelors,m,sourcing,1,24,4.0,2,0,0,48,Basic,2.0,0
Analytics,region_29,Bachelors,m,other,1,37,5.0,4,0,0,82,Basic,4.0,0
Analytics,region_22,Masters & above,m,other,1,27,3.0,1,1,0,86,Basic,6.0,0
Legal,region_22,Bachelors,m,other,1,33,3.0,1,1,0,59,Basic,4.0,0
Sales & Marketing,region_2,Masters & above,f,other,1,31,1.0,2,1,0,53,Basic,3.0,0
Sales & Marketing,region_7,Masters & above,m,sourcing,3,38,3.0,5,0,0,49,Intermediate,2.0,0
Procurement,region_22,Bachelors,m,other,1,32,5.0,2,1,0,72,Basic,6.0,0
Analytics,region_19,Bachelors,m,other,1,29,3.0,4,0,0,84,Basic,3.0,0
Sales & Marketing,region_15,Bachelors,m,other,1,37,4.0,9,0,0,50,Basic,2.5,0
Operations,region_13,Bachelors,m,other,2,42,3.0,12,0,0,60,Intermediate,2.0,0
R&D,region_22,Masters & above,m,sourcing,2,32,5.0,5,1,0,88,Intermediate,8.0,1
Operations,region_13,Bachelors,m,other,1,45,3.0,3,0,0,60,Basic,1.0,0
Analytics,region_29,Bachelors,m,other,1,28,3.0,7,0,0,83,Basic,3.5,0
Technology,region_15,Masters & above,m,sourcing,1,35,1.0,9,0,0,81,Basic,2.5,0
Sales & Marketing,region_4,Bachelors,m,other,3,28,3.0,5,0,0,48,Intermediate,2.0,0
Operations,region_8,Bachelors,f,other,1,37,1.0,3,1,0,59,Basic,3.0,0
Analytics,region_4,Masters & above,m,other,1,38,4.0,7,1,0,88,Basic,7.5,1
Procurement,region_2,Bachelors,f,sourcing,1,31,1.0,6,0,0,68,Basic,1.5,0
Operations,region_2,Masters & above,m,other,2,43,3.0,2,0,0,69,Intermediate,2.5,0
Operations,region_23,Bachelors,m,other,1,32,3.0,2,1,0,62,Basic,4.0,0
Procurement,region_2,Below Secondary,m,sourcing,1,24,4.0,2,1,0,69,Basic,6.0,0
Operations,region_2,Masters & above,m,other,1,52,5.0,8,0,0,59,Basic,2.5,0
Technology,region_13,Masters & above,m,other,1,38,5.0,2,0,0,88,Basic,4.0,0
Finance,region_20,Bachelors,m,other,1,35,3.0,4,0,0,59,Basic,1.0,0
Technology,region_31,Masters & above,m,other,1,39,5.0,4,0,1,81,Basic,7.0,1
Procurement,region_7,Bachelors,m,other,1,31,3.0,5,1,0,65,Basic,5.5,0
Operations,region_27,Bachelors,m,sourcing,1,37,3.0,5,0,0,57,Basic,1.5,0
Analytics,region_21,Bachelors,m,sourcing,1,27,3.0,1,0,0,80,Basic,3.0,0
Operations,region_30,Masters & above,f,other,1,37,5.0,9,1,0,56,Basic,5.5,0
Analytics,region_16,Bachelors,m,other,2,31,3.0,5,1,0,81,Intermediate,7.0,1
Analytics,region_22,Bachelors,m,sourcing,1,28,5.0,4,1,0,85,Basic,7.0,1
Technology,region_15,Bachelors,m,other,1,26,3.0,3,0,0,77,Basic,2.0,0
Finance,region_2,Masters & above,m,other,1,49,4.0,7,1,0,62,Basic,5.5,0
Procurement,region_13,Bachelors,f,other,1,34,3.0,9,0,0,68,Basic,2.5,0
Finance,region_4,Masters & above,f,other,1,38,3.0,2,0,0,58,Basic,1.0,0
Sales & Marketing,region_13,Masters & above,m,other,1,52,4.0,4,1,0,51,Basic,5.0,0
Sales & Marketing,region_22,Bachelors,m,sourcing,3,31,1.0,7,1,0,50,Intermediate,4.0,0
Technology,region_2,Bachelors,f,other,1,24,1.0,2,0,0,82,Basic,2.0,0
Analytics,region_22,Bachelors,f,sourcing,2,26,5.0,3,1,0,86,Intermediate,7.5,1
HR,region_7,Bachelors,m,other,1,31,2.0,5,0,0,66,Basic,1.5,0
Technology,region_26,Bachelors,f,other,1,43,1.0,4,1,0,86,Basic,5.0,0
Procurement,region_4,Masters & above,m,other,4,37,3.0,6,0,0,68,Advanced,3.0,0
Sales & Marketing,region_2,Bachelors,m,sourcing,1,37,4.0,4,0,0,50,Basic,2.0,0
HR,region_2,Masters & above,m,other,1,37,5.0,9,1,0,53,Basic,5.5,0
Operations,region_29,Bachelors,m,other,1,32,5.0,8,1,0,58,Basic,5.5,0
Sales & Marketing,region_26,Bachelors,f,other,1,30,4.0,2,0,0,53,Basic,2.0,0
Procurement,region_20,Bachelors,f,other,1,30,5.0,4,1,0,71,Basic,6.0,0
Sales & Marketing,region_7,Bachelors,m,sourcing,1,27,4.0,3,0,0,50,Basic,2.0,0
Sales & Marketing,region_2,Bachelors,m,other,2,36,4.0,8,0,0,45,Intermediate,3.0,0
Technology,region_9,Bachelors,m,sourcing,4,30,3.0,2,0,0,78,Advanced,2.5,0
Procurement,region_2,Masters & above,m,sourcing,1,49,4.0,19,0,0,73,Basic,3.5,0
Sales & Marketing,region_10,Masters & above,m,other,1,38,5.0,5,0,0,63,Basic,3.5,0
Sales & Marketing,region_30,Bachelors,m,other,1,29,3.0,6,0,0,51,Basic,1.5,0
Technology,region_33,Bachelors,m,other,1,48,3.0,6,1,0,81,Basic,6.5,0
Sales & Marketing,region_21,Bachelors,m,other,1,29,3.0,1,0,0,53,Basic,1.0,0
Analytics,region_2,Masters & above,m,other,1,59,4.0,13,0,0,82,Basic,4.5,0
Operations,region_7,Bachelors,f,other,1,36,5.0,5,1,0,62,Basic,5.5,0
Finance,region_13,Bachelors,m,other,1,28,3.0,3,0,0,59,Basic,1.0,0
Procurement,region_22,Bachelors,m,other,2,27,4.0,2,1,0,68,Intermediate,6.5,0
Operations,region_2,Bachelors,m,sourcing,1,25,3.0,2,0,0,62,Basic,1.0,0
Sales & Marketing,region_26,Bachelors,m,other,1,30,5.0,6,1,0,52,Basic,5.5,0
HR,region_27,Below Secondary,m,other,1,23,3.0,1,0,0,51,Basic,1.0,0
HR,region_15,Bachelors,f,sourcing,1,28,3.0,1,0,0,50,Basic,1.0,0
Sales & Marketing,region_2,Bachelors,m,other,1,38,4.0,5,1,0,48,Basic,5.5,0
Sales & Marketing,region_22,Bachelors,m,sourcing,1,30,3.0,1,1,0,45,Basic,4.0,0
HR,region_2,Bachelors,f,other,1,53,4.0,21,0,0,53,Basic,2.5,0
Sales & Marketing,region_8,Masters & above,m,other,1,35,3.0,8,0,0,45,Basic,1.5,0
HR,region_2,Bachelors,m,other,1,45,3.0,14,1,0,53,Basic,4.5,0
Sales & Marketing,region_26,Bachelors,m,sourcing,1,40,1.0,8,0,0,51,Basic,0.5,0
Operations,region_32,Bachelors,m,other,1,39,3.0,8,0,0,58,Basic,1.5,0
Analytics,region_13,Bachelors,m,other,1,46,4.0,6,0,0,82,Basic,4.5,0
Technology,region_5,Bachelors,m,sourcing,2,29,3.0,3,0,0,79,Intermediate,2.5,0
Analytics,region_6,Bachelors,m,other,1,28,3.0,1,1,0,84,Basic,6.0,0
Technology,region_15,Bachelors,f,other,1,34,4.0,6,1,0,82,Basic,7.5,1
Sales & Marketing,region_9,Bachelors,m,other,1,23,3.0,1,1,0,47,Basic,4.0,0
Sales & Marketing,region_14,Bachelors,m,other,1,38,5.0,3,0,0,51,Basic,2.0,0
HR,region_22,Masters & above,m,sourcing,1,32,3.0,5,0,0,52,Basic,1.5,0
Operations,region_26,Bachelors,m,other,1,33,3.0,5,1,0,58,Basic,4.5,0
Procurement,region_2,Bachelors,f,other,1,39,4.0,9,0,0,70,Basic,3.5,0
Procurement,region_4,Masters & above,m,other,4,36,3.0,6,0,0,71,Advanced,3.0,0
Operations,region_22,Bachelors,m,sourcing,2,33,4.0,4,0,0,59,Intermediate,2.5,0
Sales & Marketing,region_2,Bachelors,f,other,1,29,4.0,6,1,0,45,Basic,5.5,0
R&D,region_7,Bachelors,f,other,1,32,3.0,5,0,0,85,Basic,3.5,0
Sales & Marketing,region_28,Bachelors,f,sourcing,1,26,3.0,2,1,0,46,Basic,4.0,0
Analytics,region_32,Bachelors,m,sourcing,1,38,3.0,3,0,0,82,Basic,3.0,0
Procurement,region_22,Masters & above,m,sourcing,1,42,2.0,15,0,0,70,Basic,1.5,0
Operations,region_32,Bachelors,f,sourcing,1,30,5.0,6,0,0,60,Basic,2.5,0
Analytics,region_22,Bachelors,m,sourcing,2,28,3.0,1,0,0,83,Intermediate,3.5,0
Sales & Marketing,region_14,Bachelors,m,other,1,36,4.0,6,0,0,47,Basic,2.5,0
Procurement,region_2,Bachelors,f,other,1,56,5.0,6,0,0,84,Basic,4.5,0
Sales & Marketing,region_14,Bachelors,f,other,1,30,3.0,5,0,0,51,Basic,1.5,0
Sales & Marketing,region_15,Bachelors,m,other,2,25,3.0,1,0,0,50,Intermediate,1.5,0
HR,region_7,Bachelors,f,other,1,29,5.0,6,1,0,49,Basic,5.5,0
Sales & Marketing,region_7,Bachelors,m,other,1,36,2.0,7,0,0,47,Basic,0.5,0
Technology,region_14,Bachelors,f,other,1,39,3.0,4,0,0,80,Basic,3.0,0
Analytics,region_26,Bachelors,m,sourcing,1,30,5.0,4,1,0,84,Basic,7.0,1
R&D,region_2,Bachelors,m,other,2,42,3.0,9,0,0,84,Intermediate,4.0,0
Sales & Marketing,region_26,Bachelors,m,sourcing,2,37,4.0,9,0,0,49,Intermediate,3.0,0
Procurement,region_22,Bachelors,m,sourcing,1,31,2.0,2,1,0,66,Basic,4.0,0
Sales & Marketing,region_28,Masters & above,m,sourcing,1,32,4.0,6,1,0,48,Basic,5.5,0
Operations,region_15,Masters & above,m,other,1,40,5.0,11,1,0,59,Basic,5.5,0
Finance,region_2,Bachelors,m,sourcing,2,39,5.0,10,1,0,58,Intermediate,6.0,0
Sales & Marketing,region_26,Bachelors,m,other,1,40,4.0,10,1,0,47,Basic,5.5,0
HR,region_22,Bachelors,m,sourcing,1,23,1.0,2,0,0,45,Basic,0.0,0
Operations,region_2,Bachelors,m,sourcing,2,28,3.0,1,0,0,60,Intermediate,1.5,0
Sales & Marketing,region_7,Bachelors,m,other,1,37,2.0,4,0,0,51,Basic,0.0,0
Finance,region_2,Below Secondary,m,sourcing,1,23,3.0,1,1,0,58,Basic,4.0,0
Operations,region_2,Bachelors,m,sourcing,1,37,3.0,9,0,0,61,Basic,1.5,0
Legal,region_22,Bachelors,m,referred,1,29,5.0,3,1,0,54,Basic,5.0,0
Operations,region_32,Bachelors,f,other,1,38,4.0,10,0,0,55,Basic,2.5,0
Operations,region_22,Bachelors,m,other,2,39,4.0,10,0,0,57,Intermediate,3.0,0
Sales & Marketing,region_22,Masters & above,m,other,2,38,5.0,7,1,0,48,Intermediate,6.0,0
Procurement,region_13,Bachelors,m,sourcing,1,34,3.0,4,0,0,69,Basic,2.0,0
Procurement,region_15,Bachelors,f,other,1,48,5.0,21,0,0,69,Basic,3.5,0
R&D,region_26,Masters & above,m,other,1,29,5.0,4,0,0,82,Basic,4.0,0
Technology,region_13,Masters & above,f,other,1,37,4.0,7,1,0,81,Basic,7.5,1
Sales & Marketing,region_22,Bachelors,m,other,2,23,3.0,1,1,0,53,Intermediate,4.5,0
Operations,region_2,Bachelors,f,other,1,47,5.0,2,1,0,63,Basic,6.0,0
Sales & Marketing,region_14,Bachelors,m,sourcing,1,31,1.0,3,0,0,50,Basic,0.0,0
Analytics,region_16,Bachelors,m,other,1,28,3.0,4,0,0,83,Basic,3.0,0
Finance,region_28,Masters & above,f,other,2,32,4.0,6,1,0,57,Intermediate,6.0,0
Procurement,region_27,Bachelors,f,other,1,33,2.0,4,1,0,71,Basic,4.0,0
Legal,region_6,Bachelors,m,sourcing,2,28,3.0,1,1,0,58,Intermediate,4.5,0
Legal,region_2,Bachelors,m,other,1,32,3.0,1,1,0,62,Basic,4.0,0
Operations,region_6,Bachelors,m,sourcing,1,34,3.0,10,0,0,67,Basic,2.5,0
Sales & Marketing,region_7,Bachelors,m,sourcing,1,38,5.0,3,1,0,52,Basic,5.0,0
Technology,region_33,Bachelors,m,other,1,28,4.0,5,0,0,79,Basic,3.5,0
Analytics,region_24,Masters & above,m,other,1,34,3.0,3,0,0,87,Basic,3.0,0
Procurement,region_2,Bachelors,m,other,1,44,2.0,16,0,0,70,Basic,1.5,0
Procurement,region_20,Bachelors,m,sourcing,1,28,3.0,4,0,0,69,Basic,2.0,0
Operations,region_27,Bachelors,f,other,1,31,1.0,5,1,0,61,Basic,3.5,0
Analytics,region_29,Bachelors,m,other,1,34,2.0,5,0,0,84,Basic,2.5,0
Procurement,region_2,Below Secondary,m,other,1,22,3.0,2,1,0,71,Basic,5.0,0
Procurement,region_2,Bachelors,m,other,1,20,3.0,1,0,0,76,Basic,2.0,0
Procurement,region_11,Bachelors,f,other,1,32,3.0,7,1,0,66,Basic,5.5,0
Technology,region_2,Masters & above,f,other,1,43,3.0,6,1,0,80,Basic,6.5,0
Analytics,region_2,Masters & above,f,other,1,42,5.0,13,1,0,85,Basic,7.5,1
HR,region_7,Bachelors,m,other,1,41,3.0,8,1,0,54,Basic,4.5,0
Technology,region_11,Bachelors,f,other,1,27,3.0,2,0,0,84,Basic,3.0,0
Finance,region_2,Bachelors,m,sourcing,1,41,4.0,9,0,0,56,Basic,2.5,0
Technology,region_23,Bachelors,m,other,1,26,5.0,2,1,0,76,Basic,6.0,0
Analytics,region_34,Bachelors,m,other,1,35,5.0,10,1,0,85,Basic,7.5,1
Sales & Marketing,region_28,Bachelors,f,sourcing,1,28,1.0,3,0,0,58,Basic,0.0,0
HR,region_2,Bachelors,f,sourcing,1,50,1.0,9,0,0,46,Basic,0.5,0
Sales & Marketing,region_22,Masters & above,m,other,1,29,3.0,1,1,1,46,Basic,7.0,1
Sales & Marketing,region_7,Masters & above,m,other,2,37,1.0,10,0,0,49,Intermediate,1.0,0
Operations,region_4,Bachelors,m,other,2,35,3.0,8,1,0,64,Intermediate,6.0,0
Sales & Marketing,region_28,Masters & above,f,other,1,29,4.0,4,0,0,51,Basic,2.0,0
Sales & Marketing,region_6,Bachelors,f,sourcing,1,36,5.0,8,0,0,47,Basic,2.5,0
Technology,region_5,Below Secondary,m,other,1,22,3.0,1,1,0,79,Basic,5.0,0
Finance,region_2,Bachelors,m,other,1,36,3.0,3,0,0,55,Basic,1.0,0
Operations,region_22,Bachelors,f,other,2,37,4.0,2,0,0,71,Intermediate,3.5,0
Analytics,region_29,Bachelors,m,other,1,30,3.0,4,0,0,83,Basic,3.0,0
Finance,region_2,Bachelors,m,sourcing,2,26,2.0,2,0,0,54,Intermediate,0.5,0
Procurement,region_13,Bachelors,f,sourcing,2,28,5.0,3,1,0,68,Intermediate,6.5,0
Operations,region_15,Bachelors,m,other,1,49,4.0,9,0,0,61,Basic,2.5,0
Analytics,region_22,Bachelors,m,other,1,29,5.0,2,1,0,84,Basic,7.0,1
Procurement,region_21,Masters & above,m,other,1,35,5.0,7,1,0,70,Basic,6.5,0
Technology,region_24,Bachelors,m,other,1,32,2.0,6,0,0,90,Basic,2.5,0
Sales & Marketing,region_28,Masters & above,f,sourcing,1,42,3.0,4,0,0,54,Basic,1.0,0
Technology,region_4,Masters & above,m,other,1,37,4.0,5,0,0,76,Basic,3.5,0
Sales & Marketing,region_29,Bachelors,m,other,1,28,5.0,2,0,0,45,Basic,2.0,0
Procurement,region_15,Bachelors,m,other,1,38,4.0,2,1,1,97,Basic,10.0,1
Analytics,region_2,Bachelors,m,sourcing,2,39,4.0,5,1,0,86,Intermediate,8.0,1
Analytics,region_27,Bachelors,m,other,1,28,5.0,2,1,0,87,Basic,7.0,1
Operations,region_14,Bachelors,m,other,2,34,3.0,10,0,0,60,Intermediate,2.0,0
Operations,region_22,Bachelors,f,other,1,37,3.0,3,0,0,63,Basic,2.0,0
Sales & Marketing,region_2,Masters & above,f,sourcing,2,38,1.0,6,0,0,51,Intermediate,1.0,0
Finance,region_2,Bachelors,f,sourcing,1,24,5.0,2,1,0,57,Basic,5.0,0
Sales & Marketing,region_11,Masters & above,m,other,1,36,3.0,7,0,0,52,Basic,1.5,0
Procurement,region_2,Bachelors,m,other,1,41,2.0,15,0,0,70,Basic,1.5,0
Operations,region_22,Bachelors,m,other,2,29,3.0,1,0,0,60,Intermediate,1.5,0
Technology,region_2,Masters & above,f,sourcing,2,59,1.0,15,0,0,76,Intermediate,2.0,0
Sales & Marketing,region_12,Bachelors,f,sourcing,1,29,3.0,1,0,0,48,Basic,1.0,0
Operations,region_22,Bachelors,f,other,1,29,5.0,3,0,0,57,Basic,2.0,0
Sales & Marketing,region_13,Bachelors,f,sourcing,3,31,1.0,5,0,0,51,Intermediate,1.0,0
Sales & Marketing,region_28,Bachelors,m,sourcing,1,31,5.0,7,0,0,51,Basic,2.5,0
Sales & Marketing,region_25,Bachelors,f,sourcing,1,31,4.0,3,0,0,50,Basic,2.0,0
Sales & Marketing,region_26,Bachelors,m,other,1,32,3.0,4,1,0,47,Basic,4.0,0
Procurement,region_26,Bachelors,f,other,1,49,4.0,8,0,0,68,Basic,3.5,0
Operations,region_2,Masters & above,m,other,1,42,5.0,11,0,0,59,Basic,2.5,0
Sales & Marketing,region_11,Bachelors,m,other,1,32,5.0,7,1,0,49,Basic,5.5,0
Analytics,region_11,Bachelors,m,other,1,30,3.0,4,0,0,80,Basic,3.0,0
Analytics,region_4,Bachelors,m,other,1,32,5.0,8,0,0,86,Basic,4.5,0
Procurement,region_1,Bachelors,f,sourcing,2,29,1.0,2,0,0,74,Intermediate,1.5,0
Sales & Marketing,region_2,Bachelors,m,sourcing,2,31,1.0,6,0,0,50,Intermediate,1.0,0
Sales & Marketing,region_20,Bachelors,m,other,2,27,3.0,1,1,1,48,Intermediate,7.5,1
Operations,region_34,Bachelors,m,other,1,30,3.0,2,1,0,58,Basic,4.0,0
Operations,region_2,Bachelors,f,sourcing,1,48,4.0,8,1,0,60,Basic,5.5,0
Sales & Marketing,region_2,Bachelors,m,sourcing,1,39,5.0,12,0,0,50,Basic,2.5,0
Analytics,region_23,Masters & above,m,sourcing,1,35,2.0,7,1,0,87,Basic,5.5,0
Technology,region_2,Bachelors,f,other,1,47,4.0,7,0,0,78,Basic,3.5,0
Sales & Marketing,region_31,Masters & above,m,other,1,46,5.0,3,1,0,51,Basic,5.0,0
